,File Name,Number of Possible Articulate Paths,Computation Time
0,task005_cope02_Incorrect_Task_0001.tif,0,0
1,task005_cope02_Incorrect_Task_0002.tif,0,0
2,task005_cope02_Incorrect_Task_0003.tif,33,0.005760000000009313
3,task005_cope02_Incorrect_Task_0004.tif,4,0.0006747000152245164
4,task005_cope02_Incorrect_Task_0005.tif,22,0.0024157000007107854
5,task005_cope02_Incorrect_Task_0006.tif,0,0
6,task005_cope02_Incorrect_Task_0007.tif,33,0.0029836000176146626
7,task005_cope02_Incorrect_Task_0008.tif,32,0.00371729998732917
8,task005_cope02_Incorrect_Task_0009.tif,22,0.002352200011955574
9,task005_cope02_Incorrect_Task_0010.tif,22,0.002438600000459701
10,task005_cope02_Incorrect_Task_0011.tif,0,0
11,task005_cope02_Incorrect_Task_0012.tif,12,0.0011820000072475523
12,task005_cope02_Incorrect_Task_0013.tif,8,0.001586500002304092
13,task005_cope02_Incorrect_Task_0014.tif,24,0.0023618999985046685
14,task005_cope02_Incorrect_Task_0015.tif,4,0.000585400004638359
15,task005_cope02_Incorrect_Task_0016.tif,18,0.00199269998120144
16,task005_cope02_Incorrect_Task_0017.tif,0,0
17,task005_cope02_Incorrect_Task_0018.tif,15,0.0017968000029213727
18,task005_cope02_Incorrect_Task_0019.tif,13,0.001375499996356666
19,task005_cope02_Incorrect_Task_0020.tif,12,0.0010563000105321407
20,task005_cope02_Incorrect_Task_0021.tif,4,0.0007954000029712915
21,task005_cope02_Incorrect_Task_0022.tif,8,0.0017336999881081283
22,task005_cope02_Incorrect_Task_0023.tif,0,0
23,task005_cope02_Incorrect_Task_0024.tif,0,0
24,task005_cope02_Incorrect_Task_0025.tif,19,0.002264200011268258
25,task005_cope02_Incorrect_Task_0026.tif,0,0
26,task005_cope02_Incorrect_Task_0027.tif,0,0
27,task005_cope02_Incorrect_Task_0028.tif,19,0.0020936999935656786
28,task005_cope02_Incorrect_Task_0029.tif,20,0.0019911999988835305
29,task005_cope02_Incorrect_Task_0030.tif,8,0.0010942000080831349
30,task005_cope02_Incorrect_Task_0031.tif,0,0
31,task005_cope02_Incorrect_Task_0032.tif,0,0
32,task005_cope02_Incorrect_Task_0033.tif,8,0.0016026000084821135
33,task005_cope02_Incorrect_Task_0034.tif,8,0.0011680999887175858
34,task005_cope02_Incorrect_Task_0035.tif,0,0
35,task005_cope02_Incorrect_Task_0036.tif,2,0.0008534000080544502
36,task005_cope02_Incorrect_Task_0037.tif,0,0
37,task005_cope02_Incorrect_Task_0038.tif,0,0
38,task005_cope02_Incorrect_Task_0039.tif,0,0
39,task005_cope02_Incorrect_Task_0040.tif,25,0.00421370001276955
40,task005_cope02_Incorrect_Task_0041.tif,23,0.002252500009490177
41,task005_cope02_Incorrect_Task_0042.tif,12,0.0008270000107586384
42,task005_cope02_Incorrect_Task_0043.tif,0,0
43,task005_cope02_Incorrect_Task_0044.tif,0,0
44,task005_cope02_Incorrect_Task_0045.tif,0,0
45,task005_cope02_Incorrect_Task_0046.tif,0,0
46,task005_cope02_Incorrect_Task_0047.tif,0,0
47,task005_cope02_Incorrect_Task_0048.tif,0,0
48,task005_cope02_Incorrect_Task_0049.tif,7,0.0005455000209622085
49,task005_cope02_Incorrect_Task_0050.tif,10,0.0008741000201553106
50,task005_cope02_Incorrect_Task_0051.tif,10,0.0019081000064034015
51,task005_cope02_Incorrect_Task_0052.tif,0,0
52,task005_cope02_Incorrect_Task_0053.tif,8,0.0007689000049140304
53,task005_cope02_Incorrect_Task_0054.tif,8,0.0007689000049140304
54,task005_cope02_Incorrect_Task_0055.tif,0,0
55,task005_cope02_Incorrect_Task_0056.tif,0,0
56,task005_cope02_Incorrect_Task_0057.tif,0,0
