,File Name,Number of Line Segments,Computation Time
0,line_bisection_no_response_control_0002.tif,312,0.05529989999922691
1,line_bisection_no_response_control_0003.tif,211,0.041735399994649924
2,line_bisection_no_response_control_0004.tif,813,0.12651840000035008
3,line_bisection_no_response_control_0005.tif,905,0.17072490000282414
4,line_bisection_no_response_control_0006.tif,1197,0.23273239999980433
5,line_bisection_no_response_control_0007.tif,1288,0.24736029999621678
6,line_bisection_no_response_control_0008.tif,1029,0.2090494999938528
7,line_bisection_no_response_control_0009.tif,1092,0.2096862999969744
8,line_bisection_no_response_control_0010.tif,1213,0.20495270000537857
9,line_bisection_no_response_control_0011.tif,1015,0.1766016999972635
10,line_bisection_no_response_control_0012.tif,1166,0.20103659999585943
11,line_bisection_no_response_control_0013.tif,1143,0.2313642000008258
12,line_bisection_no_response_control_0014.tif,1077,0.22387159999925643
13,line_bisection_no_response_control_0015.tif,916,0.16835720000381116
14,line_bisection_no_response_control_0016.tif,882,0.16241029999946477
15,line_bisection_no_response_control_0017.tif,748,0.14021570000477368
16,line_bisection_no_response_control_0018.tif,904,0.15631020000000717
17,line_bisection_no_response_control_0019.tif,763,0.15268020000075921
18,line_bisection_no_response_control_0020.tif,991,0.17476479999459116
19,line_bisection_no_response_control_0021.tif,1118,0.22606960000121035
20,line_bisection_no_response_control_0022.tif,147,0.07877029999508522
21,line_bisection_no_response_control_0023.tif,874,0.1668885999970371
22,line_bisection_no_response_control_0024.tif,1000,0.18523190000269096
23,line_bisection_no_response_control_0025.tif,957,0.18381569999473868
24,line_bisection_no_response_control_0026.tif,795,0.152918600004341
25,line_bisection_no_response_control_0027.tif,914,0.20190030000230763
26,line_bisection_no_response_control_0028.tif,779,0.15869390000443673
27,line_bisection_no_response_control_0029.tif,951,0.17608300000574673
28,line_bisection_no_response_control_0030.tif,760,0.14633039999898756
29,line_bisection_no_response_control_0031.tif,877,0.15967510000336915
30,line_bisection_no_response_control_0032.tif,717,0.13427759999467526
31,line_bisection_no_response_control_0033.tif,692,0.13326729999971576
32,line_bisection_no_response_control_0034.tif,545,0.1136694999950123
33,line_bisection_no_response_control_0035.tif,819,0.1808000000019092
34,line_bisection_no_response_control_0036.tif,841,0.18193289999908302
35,line_bisection_no_response_control_0037.tif,867,0.15267170000151964
36,line_bisection_no_response_control_0038.tif,847,0.146954600000754
37,line_bisection_no_response_control_0039.tif,858,0.14902660000370815
38,line_bisection_no_response_control_0040.tif,652,0.1625629000045592
39,line_bisection_no_response_control_0041.tif,560,0.10647829999652458
40,line_bisection_no_response_control_0042.tif,649,0.20769609999842942
41,line_bisection_no_response_control_0043.tif,659,0.2178769000020111
42,line_bisection_no_response_control_0044.tif,672,0.27502889999595936
43,line_bisection_no_response_control_0045.tif,597,0.27945130000443896
44,line_bisection_no_response_control_0046.tif,272,0.13491730000532698
45,line_bisection_no_response_control_0047.tif,281,0.13661420000426006
46,line_bisection_no_response_control_0048.tif,397,0.16680050000286428
47,line_bisection_no_response_control_0049.tif,327,0.14002919999620644
48,line_bisection_no_response_control_0050.tif,378,0.19497180000325898
49,line_bisection_no_response_control_0051.tif,374,0.1541125999938231
50,line_bisection_no_response_control_0052.tif,472,0.19761550000112038
51,line_bisection_no_response_control_0053.tif,401,0.16501219999918249
52,line_bisection_no_response_control_0054.tif,416,0.15357689999655122
53,line_bisection_no_response_control_0055.tif,834,0.2777025000032154
54,line_bisection_no_response_control_0056.tif,810,0.1640306999979657
55,line_bisection_no_response_control_0057.tif,967,0.1875549999967916
56,line_bisection_no_response_control_0058.tif,849,0.1280819000021438
