,File Name,Number of Line Segments,Number of Extremal Articulated Paths,Computation Time
0,line_bisection_no_response_control_0002.tif,312,10,0.05945800000336021
1,line_bisection_no_response_control_0003.tif,519,0,0.006242100003873929
2,line_bisection_no_response_control_0004.tif,1541,4,0.1920990999933565
3,line_bisection_no_response_control_0005.tif,2375,0,0.16687670000101207
4,line_bisection_no_response_control_0006.tif,2688,25,0.19867800000065472
5,line_bisection_no_response_control_0007.tif,3531,0,0.30384590000176104
6,line_bisection_no_response_control_0008.tif,3909,28,0.5105746000044746
7,line_bisection_no_response_control_0009.tif,4037,23,0.4610501999995904
8,line_bisection_no_response_control_0010.tif,4407,19,0.5120519999982207
9,line_bisection_no_response_control_0011.tif,4678,0,0.5191711000006762
10,line_bisection_no_response_control_0012.tif,4989,4,0.5461789000037243
11,line_bisection_no_response_control_0013.tif,4751,13,0.4038717000003089
12,line_bisection_no_response_control_0014.tif,4944,0,0.4314496000006329
13,line_bisection_no_response_control_0015.tif,5108,11,0.65880169999582
14,line_bisection_no_response_control_0016.tif,4901,0,0.44675209999695653
15,line_bisection_no_response_control_0017.tif,4609,0,0.41644760000053793
16,line_bisection_no_response_control_0018.tif,4647,0,0.34371700000338024
17,line_bisection_no_response_control_0019.tif,5043,2,0.5582370999982231
18,line_bisection_no_response_control_0020.tif,5301,0,0.4424785000010161
19,line_bisection_no_response_control_0021.tif,5634,0,0.570592799995211
20,line_bisection_no_response_control_0022.tif,6081,0,0.06271500000002561
21,line_bisection_no_response_control_0023.tif,6026,0,0.30838580000272486
22,line_bisection_no_response_control_0024.tif,6239,15,0.4438171000001603
23,line_bisection_no_response_control_0025.tif,6058,19,0.40586350000376115
24,line_bisection_no_response_control_0026.tif,5484,16,0.36100530000112485
25,line_bisection_no_response_control_0027.tif,5587,0,0.6836524000027566
26,line_bisection_no_response_control_0028.tif,5654,0,0.614861900001415
27,line_bisection_no_response_control_0029.tif,5459,0,0.49373370000103023
28,line_bisection_no_response_control_0030.tif,5107,20,0.474101799998607
29,line_bisection_no_response_control_0031.tif,4978,0,0.4466909000038868
30,line_bisection_no_response_control_0032.tif,4728,18,0.42909489999874495
31,line_bisection_no_response_control_0033.tif,4748,19,0.4344366000004811
32,line_bisection_no_response_control_0034.tif,4943,0,0.25881610000215005
33,line_bisection_no_response_control_0035.tif,4462,0,0.21545850000256905
34,line_bisection_no_response_control_0036.tif,4283,0,0.38271050000184914
35,line_bisection_no_response_control_0037.tif,4161,0,0.20036119999713264
36,line_bisection_no_response_control_0038.tif,4024,0,0.19134479999775067
37,line_bisection_no_response_control_0039.tif,4108,0,0.2962005000008503
38,line_bisection_no_response_control_0040.tif,3972,0,0.27510150000307476
39,line_bisection_no_response_control_0041.tif,3302,9,0.3297759999986738
40,line_bisection_no_response_control_0042.tif,3005,0,0.35463999999774387
41,line_bisection_no_response_control_0043.tif,2747,0,0.3242173999969964
42,line_bisection_no_response_control_0044.tif,2790,0,0.4357930000041961
43,line_bisection_no_response_control_0045.tif,2730,0,0.3107326999961515
44,line_bisection_no_response_control_0046.tif,2486,5,0.2838957999992999
45,line_bisection_no_response_control_0047.tif,2557,11,0.40881220000301255
46,line_bisection_no_response_control_0048.tif,2346,0,0.26526609999564243
47,line_bisection_no_response_control_0049.tif,2337,15,0.36700240000209305
48,line_bisection_no_response_control_0050.tif,2214,0,0.24649429999408312
49,line_bisection_no_response_control_0051.tif,2068,0,0.23910369999794057
50,line_bisection_no_response_control_0052.tif,2373,2,0.3742354999994859
51,line_bisection_no_response_control_0053.tif,2370,20,0.38058409999939613
52,line_bisection_no_response_control_0054.tif,2107,0,0.23660799999925075
53,line_bisection_no_response_control_0055.tif,2123,0,0.21282150000479305
54,line_bisection_no_response_control_0056.tif,2006,0,0.14282249999814667
55,line_bisection_no_response_control_0057.tif,1750,9,0.14463049999903888
56,line_bisection_no_response_control_0058.tif,1382,9,0.10314680000010412
